season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,FGM,FGA,two_PM,two_PA,three_PM,three_PA,FTM,FTA,OREB,DREB,REB,AST,STL,BLK,TOV,PF,FG_pct,two_P_pct,three_P_pct,FT_pct,source_FG_pct,source_two_P_pct,source_three_P_pct,source_FT_pct,team_points,opponent_points,source_field_goals_missed,source_two_pointers_missed,source_three_pointers_missed,source_free_throws_missed,source_defensive_fouls,source_offensive_fouls,source_personal_fouls,source_points_in_paint,source_second_chance_points,source_fast_break_points,win_loss,possessions_est,ORtg,opponent_possessions_est,DRtg,Net_Rating
2025-26,2,8,preseason,1502,2025-10-05,4,7,新北國王,5,桃園台啤永豐雲豹,away,https://api.tpbl.basketball/api/games/1502/stats,40,86,25,47,15,39,4,6,15,31,46,26,11,1,15,18,0.46511627906976744,0.5319148936170213,0.38461538461538464,0.6666666666666666,0.465,0.532,0.385,0.667,99,89,46,22,24,2,17,1,17,40,10,10,W,88.64,111.68772563176896,89.48,99.46356727760393,12.224158354165027
2025-26,2,9,regular_season,1371,2025-10-11,4,2,高雄全家海神,7,新北國王,away,https://api.tpbl.basketball/api/games/1371/stats,35,78,26,44,9,34,21,37,14,37,51,18,10,5,19,27,0.44871794871794873,0.5909090909090909,0.2647058823529412,0.5675675675675675,0.449,0.591,0.265,0.568,100,110,43,18,25,16,23,4,25,50,15,12,L,99.28,100.72522159548751,100.52,109.43095901313173,-8.705737417644215
2025-26,2,9,regular_season,1371,2025-10-11,4,7,新北國王,2,高雄全家海神,home,https://api.tpbl.basketball/api/games/1371/stats,40,98,31,61,9,37,21,33,28,36,64,21,9,5,16,31,0.40816326530612246,0.5081967213114754,0.24324324324324326,0.6363636363636364,0.408,0.508,0.243,0.636,110,100,58,30,28,12,29,2,31,54,19,7,W,100.52,109.43095901313173,99.28,100.72522159548751,8.705737417644215
2025-26,2,9,regular_season,1372,2025-10-12,4,3,福爾摩沙夢想家,7,新北國王,away,https://api.tpbl.basketball/api/games/1372/stats,30,70,21,39,9,31,24,28,10,30,40,15,10,3,28,14,0.42857142857142855,0.5384615384615384,0.2903225806451613,0.8571428571428571,0.429,0.5379999999999999,0.29,0.857,93,112,40,18,22,4,11,3,12,40,9,10,L,100.32,92.70334928229666,100.4,111.55378486055777,-18.850435578261113
2025-26,2,9,regular_season,1372,2025-10-12,4,7,新北國王,3,福爾摩沙夢想家,home,https://api.tpbl.basketball/api/games/1372/stats,47,85,34,50,13,35,5,10,7,31,38,26,15,3,18,25,0.5529411764705883,0.68,0.37142857142857144,0.5,0.5529999999999999,0.68,0.371,0.5,112,93,38,16,22,5,22,3,23,54,14,16,W,100.4,111.55378486055777,100.32,92.70334928229666,18.850435578261113
2025-26,2,9,regular_season,1373,2025-10-18,4,2,高雄全家海神,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1373/stats,35,75,21,35,14,40,22,26,10,27,37,21,11,4,17,26,0.4666666666666667,0.6,0.35,0.8461538461538461,0.467,0.6,0.35,0.846,106,101,40,14,26,4,21,5,24,32,5,9,W,93.44,113.44178082191782,93.64,107.85988893635198,5.581891885565838
2025-26,2,9,regular_season,1373,2025-10-18,4,3,福爾摩沙夢想家,2,高雄全家海神,home,https://api.tpbl.basketball/api/games/1373/stats,33,69,24,40,9,29,26,31,9,31,40,19,6,3,20,25,0.4782608695652174,0.6,0.3103448275862069,0.8387096774193549,0.478,0.6,0.31,0.8390000000000001,101,106,36,16,20,5,22,3,24,46,10,10,L,93.64,107.85988893635198,93.44,113.44178082191782,-5.581891885565838
2025-26,2,9,regular_season,1374,2025-10-18,4,6,新北中信特攻,7,新北國王,away,https://api.tpbl.basketball/api/games/1374/stats,40,90,29,55,11,35,14,17,18,34,52,26,10,2,10,27,0.4444444444444444,0.5272727272727272,0.3142857142857143,0.8235294117647058,0.444,0.527,0.314,0.8240000000000001,105,89,50,26,24,3,25,2,27,50,18,23,W,89.48,117.34465802413946,89.56,99.37472085752567,17.96993716661379
2025-26,2,9,regular_season,1374,2025-10-18,4,7,新北國王,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1374/stats,33,78,26,43,7,35,16,24,16,31,47,14,5,3,17,19,0.4230769230769231,0.6046511627906976,0.2,0.6666666666666666,0.423,0.605,0.2,0.667,89,105,45,17,28,8,19,0,19,34,18,4,L,89.56,99.37472085752567,89.48,117.34465802413946,-17.96993716661379
2025-26,2,9,regular_season,1375,2025-10-19,4,3,福爾摩沙夢想家,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1375/stats,30,89,21,50,9,39,14,20,16,33,49,17,9,4,15,23,0.33707865168539325,0.42,0.23076923076923078,0.7,0.337,0.42,0.231,0.7,83,104,59,29,30,6,23,0,23,42,9,10,L,96.8,85.74380165289257,97.12,107.0840197693575,-21.340218116464925
