season,season_id,division_id,competition_phase,game_id,gohoops_game_id,game_date,game_datetime_local,timezone,home_team_id,away_team_id,home_team,away_team,home_points,away_points,status,venue,periods
2025-26,2,9,regular_season,1397,8088,2025-11-19,2025-11-19 19:00:00,Asia/Taipei,5,2,桃園台啤永豐雲豹,高雄全家海神,90,112,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1398,8089,2025-11-22,2025-11-22 14:30:00,Asia/Taipei,3,4,福爾摩沙夢想家,新竹御嵿攻城獅,113,98,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1399,8090,2025-11-22,2025-11-22 17:00:00,Asia/Taipei,5,7,桃園台啤永豐雲豹,新北國王,103,101,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1400,8091,2025-11-23,2025-11-23 14:30:00,Asia/Taipei,3,8,福爾摩沙夢想家,臺北台新戰神,128,117,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1401,8092,2025-11-23,2025-11-23 17:00:00,Asia/Taipei,5,6,桃園台啤永豐雲豹,新北中信特攻,100,77,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1402,8093,2025-12-03,2025-12-03 19:00:00,Asia/Taipei,8,4,臺北台新戰神,新竹御嵿攻城獅,100,98,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1403,8094,2025-12-06,2025-12-06 14:30:00,Asia/Taipei,5,4,桃園台啤永豐雲豹,新竹御嵿攻城獅,96,94,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1404,8095,2025-12-06,2025-12-06 17:00:00,Asia/Taipei,8,6,臺北台新戰神,新北中信特攻,104,108,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1405,8096,2025-12-07,2025-12-07 14:30:00,Asia/Taipei,5,3,桃園台啤永豐雲豹,福爾摩沙夢想家,105,92,COMPLETED,桃園巨蛋,4
2025-26,2,9,regular_season,1406,8097,2025-12-07,2025-12-07 17:00:00,Asia/Taipei,8,2,臺北台新戰神,高雄全家海神,96,91,COMPLETED,和平籃球館,5
2025-26,2,9,regular_season,1407,8098,2025-12-13,2025-12-13 14:30:00,Asia/Taipei,2,4,高雄全家海神,新竹御嵿攻城獅,99,89,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1408,8099,2025-12-13,2025-12-13 17:00:00,Asia/Taipei,6,5,新北中信特攻,桃園台啤永豐雲豹,85,75,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1409,8100,2025-12-14,2025-12-14 14:30:00,Asia/Taipei,2,3,高雄全家海神,福爾摩沙夢想家,73,99,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1410,8101,2025-12-14,2025-12-14 17:00:00,Asia/Taipei,6,7,新北中信特攻,新北國王,114,111,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1411,8102,2025-12-20,2025-12-20 14:30:00,Asia/Taipei,7,5,新北國王,桃園台啤永豐雲豹,125,103,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1412,8103,2025-12-20,2025-12-20 17:00:00,Asia/Taipei,4,3,新竹御嵿攻城獅,福爾摩沙夢想家,90,85,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1413,8104,2025-12-21,2025-12-21 14:30:00,Asia/Taipei,7,6,新北國王,新北中信特攻,85,78,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1414,8105,2025-12-21,2025-12-21 17:00:00,Asia/Taipei,4,8,新竹御嵿攻城獅,臺北台新戰神,83,94,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1415,8106,2025-12-24,2025-12-24 19:00:00,Asia/Taipei,4,5,新竹御嵿攻城獅,桃園台啤永豐雲豹,98,82,COMPLETED,新竹縣體育館,4
2025-26,2,9,regular_season,1416,8107,2025-12-27,2025-12-27 14:30:00,Asia/Taipei,3,8,福爾摩沙夢想家,臺北台新戰神,108,98,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1417,8108,2025-12-27,2025-12-27 17:00:00,Asia/Taipei,7,4,新北國王,新竹御嵿攻城獅,90,97,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1418,8109,2025-12-28,2025-12-28 14:30:00,Asia/Taipei,3,6,福爾摩沙夢想家,新北中信特攻,104,118,COMPLETED,臺中洲際迷你蛋,4
2025-26,2,9,regular_season,1419,8110,2025-12-28,2025-12-28 17:00:00,Asia/Taipei,7,2,新北國王,高雄全家海神,86,82,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1420,8111,2025-12-31,2025-12-31 19:00:00,Asia/Taipei,6,7,新北中信特攻,新北國王,94,82,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1421,8112,2026-01-03,2026-01-03 14:30:00,Asia/Taipei,2,5,高雄全家海神,桃園台啤永豐雲豹,102,108,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1422,8113,2026-01-03,2026-01-03 17:00:00,Asia/Taipei,6,4,新北中信特攻,新竹御嵿攻城獅,79,84,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1423,8114,2026-01-04,2026-01-04 14:30:00,Asia/Taipei,2,7,高雄全家海神,新北國王,94,111,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1424,8115,2026-01-04,2026-01-04 17:00:00,Asia/Taipei,6,3,新北中信特攻,福爾摩沙夢想家,115,122,COMPLETED,新莊體育館,4
2025-26,2,9,regular_season,1425,8116,2026-01-07,2026-01-07 19:00:00,Asia/Taipei,2,8,高雄全家海神,臺北台新戰神,108,103,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1426,8117,2026-01-09,2026-01-09 19:00:00,Asia/Taipei,5,7,桃園台啤永豐雲豹,新北國王,110,87,COMPLETED,中壢國民運動中心,4
2025-26,2,9,regular_season,1427,8118,2026-01-10,2026-01-10 14:30:00,Asia/Taipei,2,6,高雄全家海神,新北中信特攻,114,111,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1428,8119,2026-01-10,2026-01-10 17:00:00,Asia/Taipei,8,3,臺北台新戰神,福爾摩沙夢想家,91,110,COMPLETED,和平籃球館,4
2025-26,2,9,regular_season,1429,8120,2026-01-11,2026-01-11 14:30:00,Asia/Taipei,2,4,高雄全家海神,新竹御嵿攻城獅,79,95,COMPLETED,高雄巨蛋,4
2025-26,2,9,regular_season,1430,8121,2026-01-11,2026-01-11 17:00:00,Asia/Taipei,8,5,臺北台新戰神,桃園台啤永豐雲豹,114,108,COMPLETED,和平籃球館,4
