season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,field_goals_made,field_goals_missed,field_goals_attempted,field_goals,field_goals_percentage,two_pointers_made,two_pointers_missed,two_pointers_attempted,two_pointers,two_pointers_percentage,three_pointers_made,three_pointers_missed,three_pointers_attempted,three_pointers,three_pointers_percentage,free_throws_made,free_throws_missed,free_throws_attempted,free_throws,free_throws_percentage,won_score,total_won_score,lost_score,total_lost_score,rebounds,defensive_rebounds,offensive_rebounds,defensive_fouls,offensive_fouls,personal_fouls,fouls,assists,steals,blocks,turnovers,points_in_paint,second_chance_points,fast_break_points,source_json
2025-26,2,9,regular_season,1390,2025-11-09,4,2,高雄全家海神,7,新北國王,away,https://api.tpbl.basketball/api/games/1390/stats,30,41,71,30/71,42.3,20,18,38,20/38,52.6,10,23,33,10/33,30.3,24,6,30,24/30,80.0,94,94,111,111,40,33,7,22,1,21,23,20,9,1,17,38,5,13,"{""field_goals_made"":30,""field_goals_missed"":41,""field_goals_attempted"":71,""field_goals"":""30/71"",""field_goals_percentage"":""42.3"",""two_pointers_made"":20,""two_pointers_missed"":18,""two_pointers_attempted"":38,""two_pointers"":""20/38"",""two_pointers_percentage"":""52.6"",""three_pointers_made"":10,""three_pointers_missed"":23,""three_pointers_attempted"":33,""three_pointers"":""10/33"",""three_pointers_percentage"":""30.3"",""free_throws_made"":24,""free_throws_missed"":6,""free_throws_attempted"":30,""free_throws"":""24/30"",""free_throws_percentage"":""80.0"",""won_score"":94,""total_won_score"":94,""lost_score"":111,""total_lost_score"":111,""rebounds"":40,""defensive_rebounds"":33,""offensive_rebounds"":7,""defensive_fouls"":22,""offensive_fouls"":1,""personal_fouls"":21,""fouls"":23,""assists"":20,""steals"":9,""blocks"":1,""turnovers"":17,""points_in_paint"":38,""second_chance_points"":5,""fast_break_points"":13}"
2025-26,2,9,regular_season,1391,2025-11-09,4,5,桃園台啤永豐雲豹,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1391/stats,28,49,77,28/77,36.4,18,25,43,18/43,41.9,10,24,34,10/34,29.4,19,5,24,19/24,79.2,85,85,78,78,51,35,16,15,1,15,16,21,14,6,19,32,9,8,"{""field_goals_made"":28,""field_goals_missed"":49,""field_goals_attempted"":77,""field_goals"":""28/77"",""field_goals_percentage"":""36.4"",""two_pointers_made"":18,""two_pointers_missed"":25,""two_pointers_attempted"":43,""two_pointers"":""18/43"",""two_pointers_percentage"":""41.9"",""three_pointers_made"":10,""three_pointers_missed"":24,""three_pointers_attempted"":34,""three_pointers"":""10/34"",""three_pointers_percentage"":""29.4"",""free_throws_made"":19,""free_throws_missed"":5,""free_throws_attempted"":24,""free_throws"":""19/24"",""free_throws_percentage"":""79.2"",""won_score"":85,""total_won_score"":85,""lost_score"":78,""total_lost_score"":78,""rebounds"":51,""defensive_rebounds"":35,""offensive_rebounds"":16,""defensive_fouls"":15,""offensive_fouls"":1,""personal_fouls"":15,""fouls"":16,""assists"":21,""steals"":14,""blocks"":6,""turnovers"":19,""points_in_paint"":32,""second_chance_points"":9,""fast_break_points"":8}"
2025-26,2,9,regular_season,1391,2025-11-09,4,6,新北中信特攻,5,桃園台啤永豐雲豹,away,https://api.tpbl.basketball/api/games/1391/stats,32,53,85,32/85,37.6,25,30,55,25/55,45.5,7,23,30,7/30,23.3,7,10,17,7/17,41.2,78,78,85,85,53,33,20,23,1,23,24,20,11,3,19,50,10,12,"{""field_goals_made"":32,""field_goals_missed"":53,""field_goals_attempted"":85,""field_goals"":""32/85"",""field_goals_percentage"":""37.6"",""two_pointers_made"":25,""two_pointers_missed"":30,""two_pointers_attempted"":55,""two_pointers"":""25/55"",""two_pointers_percentage"":""45.5"",""three_pointers_made"":7,""three_pointers_missed"":23,""three_pointers_attempted"":30,""three_pointers"":""7/30"",""three_pointers_percentage"":""23.3"",""free_throws_made"":7,""free_throws_missed"":10,""free_throws_attempted"":17,""free_throws"":""7/17"",""free_throws_percentage"":""41.2"",""won_score"":78,""total_won_score"":78,""lost_score"":85,""total_lost_score"":85,""rebounds"":53,""defensive_rebounds"":33,""offensive_rebounds"":20,""defensive_fouls"":23,""offensive_fouls"":1,""personal_fouls"":23,""fouls"":24,""assists"":20,""steals"":11,""blocks"":3,""turnovers"":19,""points_in_paint"":50,""second_chance_points"":10,""fast_break_points"":12}"
2025-26,2,9,regular_season,1392,2025-11-12,4,7,新北國王,3,福爾摩沙夢想家,home,https://api.tpbl.basketball/api/games/1392/stats,31,55,86,31/86,36.0,23,28,51,23/51,45.1,8,27,35,8/35,22.9,24,5,29,24/29,82.8,94,94,91,91,46,26,20,22,0,22,22,21,13,2,17,38,11,28,"{""field_goals_made"":31,""field_goals_missed"":55,""field_goals_attempted"":86,""field_goals"":""31/86"",""field_goals_percentage"":""36.0"",""two_pointers_made"":23,""two_pointers_missed"":28,""two_pointers_attempted"":51,""two_pointers"":""23/51"",""two_pointers_percentage"":""45.1"",""three_pointers_made"":8,""three_pointers_missed"":27,""three_pointers_attempted"":35,""three_pointers"":""8/35"",""three_pointers_percentage"":""22.9"",""free_throws_made"":24,""free_throws_missed"":5,""free_throws_attempted"":29,""free_throws"":""24/29"",""free_throws_percentage"":""82.8"",""won_score"":94,""total_won_score"":94,""lost_score"":91,""total_lost_score"":91,""rebounds"":46,""defensive_rebounds"":26,""offensive_rebounds"":20,""defensive_fouls"":22,""offensive_fouls"":0,""personal_fouls"":22,""fouls"":22,""assists"":21,""steals"":13,""blocks"":2,""turnovers"":17,""points_in_paint"":38,""second_chance_points"":11,""fast_break_points"":28}"
2025-26,2,9,regular_season,1392,2025-11-12,4,3,福爾摩沙夢想家,7,新北國王,away,https://api.tpbl.basketball/api/games/1392/stats,34,41,75,34/75,45.3,29,15,44,29/44,65.9,5,26,31,5/31,16.1,18,8,26,18/26,69.2,91,91,94,94,57,40,17,19,3,21,22,16,6,4,27,46,16,13,"{""field_goals_made"":34,""field_goals_missed"":41,""field_goals_attempted"":75,""field_goals"":""34/75"",""field_goals_percentage"":""45.3"",""two_pointers_made"":29,""two_pointers_missed"":15,""two_pointers_attempted"":44,""two_pointers"":""29/44"",""two_pointers_percentage"":""65.9"",""three_pointers_made"":5,""three_pointers_missed"":26,""three_pointers_attempted"":31,""three_pointers"":""5/31"",""three_pointers_percentage"":""16.1"",""free_throws_made"":18,""free_throws_missed"":8,""free_throws_attempted"":26,""free_throws"":""18/26"",""free_throws_percentage"":""69.2"",""won_score"":91,""total_won_score"":91,""lost_score"":94,""total_lost_score"":94,""rebounds"":57,""defensive_rebounds"":40,""offensive_rebounds"":17,""defensive_fouls"":19,""offensive_fouls"":3,""personal_fouls"":21,""fouls"":22,""assists"":16,""steals"":6,""blocks"":4,""turnovers"":27,""points_in_paint"":46,""second_chance_points"":16,""fast_break_points"":13}"
2025-26,2,9,regular_season,1393,2025-11-15,4,4,新竹御嵿攻城獅,6,新北中信特攻,home,https://api.tpbl.basketball/api/games/1393/stats,33,44,77,33/77,42.9,20,19,39,20/39,51.3,13,25,38,13/38,34.2,23,5,28,23/28,82.1,102,102,85,85,43,34,9,19,0,19,19,20,6,5,10,30,3,9,"{""field_goals_made"":33,""field_goals_missed"":44,""field_goals_attempted"":77,""field_goals"":""33/77"",""field_goals_percentage"":""42.9"",""two_pointers_made"":20,""two_pointers_missed"":19,""two_pointers_attempted"":39,""two_pointers"":""20/39"",""two_pointers_percentage"":""51.3"",""three_pointers_made"":13,""three_pointers_missed"":25,""three_pointers_attempted"":38,""three_pointers"":""13/38"",""three_pointers_percentage"":""34.2"",""free_throws_made"":23,""free_throws_missed"":5,""free_throws_attempted"":28,""free_throws"":""23/28"",""free_throws_percentage"":""82.1"",""won_score"":102,""total_won_score"":102,""lost_score"":85,""total_lost_score"":85,""rebounds"":43,""defensive_rebounds"":34,""offensive_rebounds"":9,""defensive_fouls"":19,""offensive_fouls"":0,""personal_fouls"":19,""fouls"":19,""assists"":20,""steals"":6,""blocks"":5,""turnovers"":10,""points_in_paint"":30,""second_chance_points"":3,""fast_break_points"":9}"
2025-26,2,9,regular_season,1393,2025-11-15,4,6,新北中信特攻,4,新竹御嵿攻城獅,away,https://api.tpbl.basketball/api/games/1393/stats,32,57,89,32/89,36.0,23,29,52,23/52,44.2,9,28,37,9/37,24.3,12,7,19,12/19,63.2,85,85,102,102,59,37,22,20,2,20,22,18,7,0,18,42,21,13,"{""field_goals_made"":32,""field_goals_missed"":57,""field_goals_attempted"":89,""field_goals"":""32/89"",""field_goals_percentage"":""36.0"",""two_pointers_made"":23,""two_pointers_missed"":29,""two_pointers_attempted"":52,""two_pointers"":""23/52"",""two_pointers_percentage"":""44.2"",""three_pointers_made"":9,""three_pointers_missed"":28,""three_pointers_attempted"":37,""three_pointers"":""9/37"",""three_pointers_percentage"":""24.3"",""free_throws_made"":12,""free_throws_missed"":7,""free_throws_attempted"":19,""free_throws"":""12/19"",""free_throws_percentage"":""63.2"",""won_score"":85,""total_won_score"":85,""lost_score"":102,""total_lost_score"":102,""rebounds"":59,""defensive_rebounds"":37,""offensive_rebounds"":22,""defensive_fouls"":20,""offensive_fouls"":2,""personal_fouls"":20,""fouls"":22,""assists"":18,""steals"":7,""blocks"":0,""turnovers"":18,""points_in_paint"":42,""second_chance_points"":21,""fast_break_points"":13}"
2025-26,2,9,regular_season,1394,2025-11-15,4,8,臺北台新戰神,7,新北國王,home,https://api.tpbl.basketball/api/games/1394/stats,37,59,96,37/96,38.5,27,32,59,27/59,45.8,10,27,37,10/37,27.0,13,9,22,13/22,59.1,97,97,87,87,62,37,25,11,0,11,11,13,10,4,12,50,22,8,"{""field_goals_made"":37,""field_goals_missed"":59,""field_goals_attempted"":96,""field_goals"":""37/96"",""field_goals_percentage"":""38.5"",""two_pointers_made"":27,""two_pointers_missed"":32,""two_pointers_attempted"":59,""two_pointers"":""27/59"",""two_pointers_percentage"":""45.8"",""three_pointers_made"":10,""three_pointers_missed"":27,""three_pointers_attempted"":37,""three_pointers"":""10/37"",""three_pointers_percentage"":""27.0"",""free_throws_made"":13,""free_throws_missed"":9,""free_throws_attempted"":22,""free_throws"":""13/22"",""free_throws_percentage"":""59.1"",""won_score"":97,""total_won_score"":97,""lost_score"":87,""total_lost_score"":87,""rebounds"":62,""defensive_rebounds"":37,""offensive_rebounds"":25,""defensive_fouls"":11,""offensive_fouls"":0,""personal_fouls"":11,""fouls"":11,""assists"":13,""steals"":10,""blocks"":4,""turnovers"":12,""points_in_paint"":50,""second_chance_points"":22,""fast_break_points"":8}"
2025-26,2,9,regular_season,1394,2025-11-15,4,7,新北國王,8,臺北台新戰神,away,https://api.tpbl.basketball/api/games/1394/stats,33,48,81,33/81,40.7,18,18,36,18/36,50.0,15,30,45,15/45,33.3,6,2,8,6/8,75.0,87,87,97,97,49,37,12,21,1,22,22,24,6,5,17,28,10,13,"{""field_goals_made"":33,""field_goals_missed"":48,""field_goals_attempted"":81,""field_goals"":""33/81"",""field_goals_percentage"":""40.7"",""two_pointers_made"":18,""two_pointers_missed"":18,""two_pointers_attempted"":36,""two_pointers"":""18/36"",""two_pointers_percentage"":""50.0"",""three_pointers_made"":15,""three_pointers_missed"":30,""three_pointers_attempted"":45,""three_pointers"":""15/45"",""three_pointers_percentage"":""33.3"",""free_throws_made"":6,""free_throws_missed"":2,""free_throws_attempted"":8,""free_throws"":""6/8"",""free_throws_percentage"":""75.0"",""won_score"":87,""total_won_score"":87,""lost_score"":97,""total_lost_score"":97,""rebounds"":49,""defensive_rebounds"":37,""offensive_rebounds"":12,""defensive_fouls"":21,""offensive_fouls"":1,""personal_fouls"":22,""fouls"":22,""assists"":24,""steals"":6,""blocks"":5,""turnovers"":17,""points_in_paint"":28,""second_chance_points"":10,""fast_break_points"":13}"
2025-26,2,9,regular_season,1395,2025-11-16,4,4,新竹御嵿攻城獅,2,高雄全家海神,home,https://api.tpbl.basketball/api/games/1395/stats,33,38,71,33/71,46.5,27,19,46,27/46,58.7,6,19,25,6/25,24.0,25,9,34,25/34,73.5,97,97,89,89,52,38,14,15,2,16,17,16,8,3,17,48,10,9,"{""field_goals_made"":33,""field_goals_missed"":38,""field_goals_attempted"":71,""field_goals"":""33/71"",""field_goals_percentage"":""46.5"",""two_pointers_made"":27,""two_pointers_missed"":19,""two_pointers_attempted"":46,""two_pointers"":""27/46"",""two_pointers_percentage"":""58.7"",""three_pointers_made"":6,""three_pointers_missed"":19,""three_pointers_attempted"":25,""three_pointers"":""6/25"",""three_pointers_percentage"":""24.0"",""free_throws_made"":25,""free_throws_missed"":9,""free_throws_attempted"":34,""free_throws"":""25/34"",""free_throws_percentage"":""73.5"",""won_score"":97,""total_won_score"":97,""lost_score"":89,""total_lost_score"":89,""rebounds"":52,""defensive_rebounds"":38,""offensive_rebounds"":14,""defensive_fouls"":15,""offensive_fouls"":2,""personal_fouls"":16,""fouls"":17,""assists"":16,""steals"":8,""blocks"":3,""turnovers"":17,""points_in_paint"":48,""second_chance_points"":10,""fast_break_points"":9}"
2025-26,2,9,regular_season,1395,2025-11-16,4,2,高雄全家海神,4,新竹御嵿攻城獅,away,https://api.tpbl.basketball/api/games/1395/stats,35,50,85,35/85,41.2,21,27,48,21/48,43.8,14,23,37,14/37,37.8,5,5,10,5/10,50.0,89,89,97,97,40,28,12,27,2,29,29,21,8,1,18,36,8,20,"{""field_goals_made"":35,""field_goals_missed"":50,""field_goals_attempted"":85,""field_goals"":""35/85"",""field_goals_percentage"":""41.2"",""two_pointers_made"":21,""two_pointers_missed"":27,""two_pointers_attempted"":48,""two_pointers"":""21/48"",""two_pointers_percentage"":""43.8"",""three_pointers_made"":14,""three_pointers_missed"":23,""three_pointers_attempted"":37,""three_pointers"":""14/37"",""three_pointers_percentage"":""37.8"",""free_throws_made"":5,""free_throws_missed"":5,""free_throws_attempted"":10,""free_throws"":""5/10"",""free_throws_percentage"":""50.0"",""won_score"":89,""total_won_score"":89,""lost_score"":97,""total_lost_score"":97,""rebounds"":40,""defensive_rebounds"":28,""offensive_rebounds"":12,""defensive_fouls"":27,""offensive_fouls"":2,""personal_fouls"":29,""fouls"":29,""assists"":21,""steals"":8,""blocks"":1,""turnovers"":18,""points_in_paint"":36,""second_chance_points"":8,""fast_break_points"":20}"
2025-26,2,9,regular_season,1396,2025-11-16,4,8,臺北台新戰神,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1396/stats,37,51,88,37/88,42.0,21,22,43,21/43,48.8,16,29,45,16/45,35.6,12,10,22,12/22,54.5,102,102,112,112,36,22,14,21,2,22,23,27,14,5,15,32,14,22,"{""field_goals_made"":37,""field_goals_missed"":51,""field_goals_attempted"":88,""field_goals"":""37/88"",""field_goals_percentage"":""42.0"",""two_pointers_made"":21,""two_pointers_missed"":22,""two_pointers_attempted"":43,""two_pointers"":""21/43"",""two_pointers_percentage"":""48.8"",""three_pointers_made"":16,""three_pointers_missed"":29,""three_pointers_attempted"":45,""three_pointers"":""16/45"",""three_pointers_percentage"":""35.6"",""free_throws_made"":12,""free_throws_missed"":10,""free_throws_attempted"":22,""free_throws"":""12/22"",""free_throws_percentage"":""54.5"",""won_score"":102,""total_won_score"":102,""lost_score"":112,""total_lost_score"":112,""rebounds"":36,""defensive_rebounds"":22,""offensive_rebounds"":14,""defensive_fouls"":21,""offensive_fouls"":2,""personal_fouls"":22,""fouls"":23,""assists"":27,""steals"":14,""blocks"":5,""turnovers"":15,""points_in_paint"":32,""second_chance_points"":14,""fast_break_points"":22}"
2025-26,2,9,regular_season,1396,2025-11-16,4,5,桃園台啤永豐雲豹,8,臺北台新戰神,away,https://api.tpbl.basketball/api/games/1396/stats,42,36,78,42/78,53.8,32,26,58,32/58,55.2,10,10,20,10/20,50.0,18,8,26,18/26,69.2,112,112,102,102,59,40,19,18,2,19,20,25,10,2,25,52,26,8,"{""field_goals_made"":42,""field_goals_missed"":36,""field_goals_attempted"":78,""field_goals"":""42/78"",""field_goals_percentage"":""53.8"",""two_pointers_made"":32,""two_pointers_missed"":26,""two_pointers_attempted"":58,""two_pointers"":""32/58"",""two_pointers_percentage"":""55.2"",""three_pointers_made"":10,""three_pointers_missed"":10,""three_pointers_attempted"":20,""three_pointers"":""10/20"",""three_pointers_percentage"":""50.0"",""free_throws_made"":18,""free_throws_missed"":8,""free_throws_attempted"":26,""free_throws"":""18/26"",""free_throws_percentage"":""69.2"",""won_score"":112,""total_won_score"":112,""lost_score"":102,""total_lost_score"":102,""rebounds"":59,""defensive_rebounds"":40,""offensive_rebounds"":19,""defensive_fouls"":18,""offensive_fouls"":2,""personal_fouls"":19,""fouls"":20,""assists"":25,""steals"":10,""blocks"":2,""turnovers"":25,""points_in_paint"":52,""second_chance_points"":26,""fast_break_points"":8}"
2025-26,2,9,regular_season,1397,2025-11-19,4,5,桃園台啤永豐雲豹,2,高雄全家海神,home,https://api.tpbl.basketball/api/games/1397/stats,32,46,78,32/78,41.0,21,23,44,21/44,47.7,11,23,34,11/34,32.4,15,13,28,15/28,53.6,90,90,112,112,41,24,17,15,0,15,15,26,10,1,18,38,12,16,"{""field_goals_made"":32,""field_goals_missed"":46,""field_goals_attempted"":78,""field_goals"":""32/78"",""field_goals_percentage"":""41.0"",""two_pointers_made"":21,""two_pointers_missed"":23,""two_pointers_attempted"":44,""two_pointers"":""21/44"",""two_pointers_percentage"":""47.7"",""three_pointers_made"":11,""three_pointers_missed"":23,""three_pointers_attempted"":34,""three_pointers"":""11/34"",""three_pointers_percentage"":""32.4"",""free_throws_made"":15,""free_throws_missed"":13,""free_throws_attempted"":28,""free_throws"":""15/28"",""free_throws_percentage"":""53.6"",""won_score"":90,""total_won_score"":90,""lost_score"":112,""total_lost_score"":112,""rebounds"":41,""defensive_rebounds"":24,""offensive_rebounds"":17,""defensive_fouls"":15,""offensive_fouls"":0,""personal_fouls"":15,""fouls"":15,""assists"":26,""steals"":10,""blocks"":1,""turnovers"":18,""points_in_paint"":38,""second_chance_points"":12,""fast_break_points"":16}"
2025-26,2,9,regular_season,1397,2025-11-19,4,2,高雄全家海神,5,桃園台啤永豐雲豹,away,https://api.tpbl.basketball/api/games/1397/stats,44,31,75,44/75,58.7,30,16,46,30/46,65.2,14,15,29,14/29,48.3,10,3,13,10/13,76.9,112,112,90,90,44,35,9,22,2,23,24,32,12,3,23,56,14,25,"{""field_goals_made"":44,""field_goals_missed"":31,""field_goals_attempted"":75,""field_goals"":""44/75"",""field_goals_percentage"":""58.7"",""two_pointers_made"":30,""two_pointers_missed"":16,""two_pointers_attempted"":46,""two_pointers"":""30/46"",""two_pointers_percentage"":""65.2"",""three_pointers_made"":14,""three_pointers_missed"":15,""three_pointers_attempted"":29,""three_pointers"":""14/29"",""three_pointers_percentage"":""48.3"",""free_throws_made"":10,""free_throws_missed"":3,""free_throws_attempted"":13,""free_throws"":""10/13"",""free_throws_percentage"":""76.9"",""won_score"":112,""total_won_score"":112,""lost_score"":90,""total_lost_score"":90,""rebounds"":44,""defensive_rebounds"":35,""offensive_rebounds"":9,""defensive_fouls"":22,""offensive_fouls"":2,""personal_fouls"":23,""fouls"":24,""assists"":32,""steals"":12,""blocks"":3,""turnovers"":23,""points_in_paint"":56,""second_chance_points"":14,""fast_break_points"":25}"
2025-26,2,9,regular_season,1398,2025-11-22,4,3,福爾摩沙夢想家,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1398/stats,40,31,71,40/71,56.3,27,14,41,27/41,65.9,13,17,30,13/30,43.3,20,6,26,20/26,76.9,113,113,98,98,43,33,10,20,1,21,21,28,11,3,24,48,13,9,"{""field_goals_made"":40,""field_goals_missed"":31,""field_goals_attempted"":71,""field_goals"":""40/71"",""field_goals_percentage"":""56.3"",""two_pointers_made"":27,""two_pointers_missed"":14,""two_pointers_attempted"":41,""two_pointers"":""27/41"",""two_pointers_percentage"":""65.9"",""three_pointers_made"":13,""three_pointers_missed"":17,""three_pointers_attempted"":30,""three_pointers"":""13/30"",""three_pointers_percentage"":""43.3"",""free_throws_made"":20,""free_throws_missed"":6,""free_throws_attempted"":26,""free_throws"":""20/26"",""free_throws_percentage"":""76.9"",""won_score"":113,""total_won_score"":113,""lost_score"":98,""total_lost_score"":98,""rebounds"":43,""defensive_rebounds"":33,""offensive_rebounds"":10,""defensive_fouls"":20,""offensive_fouls"":1,""personal_fouls"":21,""fouls"":21,""assists"":28,""steals"":11,""blocks"":3,""turnovers"":24,""points_in_paint"":48,""second_chance_points"":13,""fast_break_points"":9}"
2025-26,2,9,regular_season,1398,2025-11-22,4,4,新竹御嵿攻城獅,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1398/stats,38,45,83,38/83,45.8,27,26,53,27/53,50.9,11,19,30,11/30,36.7,11,3,14,11/14,78.6,98,98,113,113,34,21,13,18,2,20,20,16,14,1,19,50,14,18,"{""field_goals_made"":38,""field_goals_missed"":45,""field_goals_attempted"":83,""field_goals"":""38/83"",""field_goals_percentage"":""45.8"",""two_pointers_made"":27,""two_pointers_missed"":26,""two_pointers_attempted"":53,""two_pointers"":""27/53"",""two_pointers_percentage"":""50.9"",""three_pointers_made"":11,""three_pointers_missed"":19,""three_pointers_attempted"":30,""three_pointers"":""11/30"",""three_pointers_percentage"":""36.7"",""free_throws_made"":11,""free_throws_missed"":3,""free_throws_attempted"":14,""free_throws"":""11/14"",""free_throws_percentage"":""78.6"",""won_score"":98,""total_won_score"":98,""lost_score"":113,""total_lost_score"":113,""rebounds"":34,""defensive_rebounds"":21,""offensive_rebounds"":13,""defensive_fouls"":18,""offensive_fouls"":2,""personal_fouls"":20,""fouls"":20,""assists"":16,""steals"":14,""blocks"":1,""turnovers"":19,""points_in_paint"":50,""second_chance_points"":14,""fast_break_points"":18}"
2025-26,2,9,regular_season,1399,2025-11-22,4,5,桃園台啤永豐雲豹,7,新北國王,home,https://api.tpbl.basketball/api/games/1399/stats,35,40,75,35/75,46.7,31,25,56,31/56,55.4,4,15,19,4/19,21.1,29,9,38,29/38,76.3,103,103,101,101,46,37,9,15,2,16,17,24,12,4,17,60,6,11,"{""field_goals_made"":35,""field_goals_missed"":40,""field_goals_attempted"":75,""field_goals"":""35/75"",""field_goals_percentage"":""46.7"",""two_pointers_made"":31,""two_pointers_missed"":25,""two_pointers_attempted"":56,""two_pointers"":""31/56"",""two_pointers_percentage"":""55.4"",""three_pointers_made"":4,""three_pointers_missed"":15,""three_pointers_attempted"":19,""three_pointers"":""4/19"",""three_pointers_percentage"":""21.1"",""free_throws_made"":29,""free_throws_missed"":9,""free_throws_attempted"":38,""free_throws"":""29/38"",""free_throws_percentage"":""76.3"",""won_score"":103,""total_won_score"":103,""lost_score"":101,""total_lost_score"":101,""rebounds"":46,""defensive_rebounds"":37,""offensive_rebounds"":9,""defensive_fouls"":15,""offensive_fouls"":2,""personal_fouls"":16,""fouls"":17,""assists"":24,""steals"":12,""blocks"":4,""turnovers"":17,""points_in_paint"":60,""second_chance_points"":6,""fast_break_points"":11}"
2025-26,2,9,regular_season,1399,2025-11-22,4,7,新北國王,5,桃園台啤永豐雲豹,away,https://api.tpbl.basketball/api/games/1399/stats,38,55,93,38/93,40.9,25,29,54,25/54,46.3,13,26,39,13/39,33.3,12,5,17,12/17,70.6,101,101,103,103,52,36,16,28,1,28,29,25,13,2,16,46,15,8,"{""field_goals_made"":38,""field_goals_missed"":55,""field_goals_attempted"":93,""field_goals"":""38/93"",""field_goals_percentage"":""40.9"",""two_pointers_made"":25,""two_pointers_missed"":29,""two_pointers_attempted"":54,""two_pointers"":""25/54"",""two_pointers_percentage"":""46.3"",""three_pointers_made"":13,""three_pointers_missed"":26,""three_pointers_attempted"":39,""three_pointers"":""13/39"",""three_pointers_percentage"":""33.3"",""free_throws_made"":12,""free_throws_missed"":5,""free_throws_attempted"":17,""free_throws"":""12/17"",""free_throws_percentage"":""70.6"",""won_score"":101,""total_won_score"":101,""lost_score"":103,""total_lost_score"":103,""rebounds"":52,""defensive_rebounds"":36,""offensive_rebounds"":16,""defensive_fouls"":28,""offensive_fouls"":1,""personal_fouls"":28,""fouls"":29,""assists"":25,""steals"":13,""blocks"":2,""turnovers"":16,""points_in_paint"":46,""second_chance_points"":15,""fast_break_points"":8}"
2025-26,2,9,regular_season,1400,2025-11-23,4,3,福爾摩沙夢想家,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1400/stats,39,38,77,39/77,50.6,15,12,27,15/27,55.6,24,26,50,24/50,48.0,26,8,34,26/34,76.5,128,128,117,117,48,34,14,18,1,18,19,30,14,7,20,26,9,9,"{""field_goals_made"":39,""field_goals_missed"":38,""field_goals_attempted"":77,""field_goals"":""39/77"",""field_goals_percentage"":""50.6"",""two_pointers_made"":15,""two_pointers_missed"":12,""two_pointers_attempted"":27,""two_pointers"":""15/27"",""two_pointers_percentage"":""55.6"",""three_pointers_made"":24,""three_pointers_missed"":26,""three_pointers_attempted"":50,""three_pointers"":""24/50"",""three_pointers_percentage"":""48.0"",""free_throws_made"":26,""free_throws_missed"":8,""free_throws_attempted"":34,""free_throws"":""26/34"",""free_throws_percentage"":""76.5"",""won_score"":128,""total_won_score"":128,""lost_score"":117,""total_lost_score"":117,""rebounds"":48,""defensive_rebounds"":34,""offensive_rebounds"":14,""defensive_fouls"":18,""offensive_fouls"":1,""personal_fouls"":18,""fouls"":19,""assists"":30,""steals"":14,""blocks"":7,""turnovers"":20,""points_in_paint"":26,""second_chance_points"":9,""fast_break_points"":9}"
2025-26,2,9,regular_season,1400,2025-11-23,4,8,臺北台新戰神,3,福爾摩沙夢想家,away,https://api.tpbl.basketball/api/games/1400/stats,44,44,88,44/88,50.0,27,29,56,27/56,48.2,17,15,32,17/32,53.1,12,13,25,12/25,48.0,117,117,128,128,44,28,16,24,3,25,27,13,11,0,16,48,12,10,"{""field_goals_made"":44,""field_goals_missed"":44,""field_goals_attempted"":88,""field_goals"":""44/88"",""field_goals_percentage"":""50.0"",""two_pointers_made"":27,""two_pointers_missed"":29,""two_pointers_attempted"":56,""two_pointers"":""27/56"",""two_pointers_percentage"":""48.2"",""three_pointers_made"":17,""three_pointers_missed"":15,""three_pointers_attempted"":32,""three_pointers"":""17/32"",""three_pointers_percentage"":""53.1"",""free_throws_made"":12,""free_throws_missed"":13,""free_throws_attempted"":25,""free_throws"":""12/25"",""free_throws_percentage"":""48.0"",""won_score"":117,""total_won_score"":117,""lost_score"":128,""total_lost_score"":128,""rebounds"":44,""defensive_rebounds"":28,""offensive_rebounds"":16,""defensive_fouls"":24,""offensive_fouls"":3,""personal_fouls"":25,""fouls"":27,""assists"":13,""steals"":11,""blocks"":0,""turnovers"":16,""points_in_paint"":48,""second_chance_points"":12,""fast_break_points"":10}"
