season,season_id,division_id,competition_phase,game_id,game_date,periods,team_id,team,opponent_id,opponent,home_away,source_url,field_goals_made,field_goals_missed,field_goals_attempted,field_goals,field_goals_percentage,two_pointers_made,two_pointers_missed,two_pointers_attempted,two_pointers,two_pointers_percentage,three_pointers_made,three_pointers_missed,three_pointers_attempted,three_pointers,three_pointers_percentage,free_throws_made,free_throws_missed,free_throws_attempted,free_throws,free_throws_percentage,won_score,total_won_score,lost_score,total_lost_score,rebounds,defensive_rebounds,offensive_rebounds,defensive_fouls,offensive_fouls,personal_fouls,fouls,assists,steals,blocks,turnovers,points_in_paint,second_chance_points,fast_break_points,source_json
2025-26,2,9,regular_season,1376,2025-10-19,5,7,新北國王,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1376/stats,43,46,89,43/89,48.3,28,23,51,28/51,54.9,15,23,38,15/38,39.5,19,7,26,19/26,73.1,120,120,123,123,46,25,21,20,3,23,23,28,8,1,19,54,23,11,"{""field_goals_made"":43,""field_goals_missed"":46,""field_goals_attempted"":89,""field_goals"":""43/89"",""field_goals_percentage"":""48.3"",""two_pointers_made"":28,""two_pointers_missed"":23,""two_pointers_attempted"":51,""two_pointers"":""28/51"",""two_pointers_percentage"":""54.9"",""three_pointers_made"":15,""three_pointers_missed"":23,""three_pointers_attempted"":38,""three_pointers"":""15/38"",""three_pointers_percentage"":""39.5"",""free_throws_made"":19,""free_throws_missed"":7,""free_throws_attempted"":26,""free_throws"":""19/26"",""free_throws_percentage"":""73.1"",""won_score"":120,""total_won_score"":120,""lost_score"":123,""total_lost_score"":123,""rebounds"":46,""defensive_rebounds"":25,""offensive_rebounds"":21,""defensive_fouls"":20,""offensive_fouls"":3,""personal_fouls"":23,""fouls"":23,""assists"":28,""steals"":8,""blocks"":1,""turnovers"":19,""points_in_paint"":54,""second_chance_points"":23,""fast_break_points"":11}"
2025-26,2,9,regular_season,1376,2025-10-19,5,8,臺北台新戰神,7,新北國王,away,https://api.tpbl.basketball/api/games/1376/stats,46,43,89,46/89,51.7,31,25,56,31/56,55.4,15,18,33,15/33,45.5,16,4,20,16/20,80.0,123,123,120,120,44,26,18,24,4,28,28,25,10,5,19,50,23,4,"{""field_goals_made"":46,""field_goals_missed"":43,""field_goals_attempted"":89,""field_goals"":""46/89"",""field_goals_percentage"":""51.7"",""two_pointers_made"":31,""two_pointers_missed"":25,""two_pointers_attempted"":56,""two_pointers"":""31/56"",""two_pointers_percentage"":""55.4"",""three_pointers_made"":15,""three_pointers_missed"":18,""three_pointers_attempted"":33,""three_pointers"":""15/33"",""three_pointers_percentage"":""45.5"",""free_throws_made"":16,""free_throws_missed"":4,""free_throws_attempted"":20,""free_throws"":""16/20"",""free_throws_percentage"":""80.0"",""won_score"":123,""total_won_score"":123,""lost_score"":120,""total_lost_score"":120,""rebounds"":44,""defensive_rebounds"":26,""offensive_rebounds"":18,""defensive_fouls"":24,""offensive_fouls"":4,""personal_fouls"":28,""fouls"":28,""assists"":25,""steals"":10,""blocks"":5,""turnovers"":19,""points_in_paint"":50,""second_chance_points"":23,""fast_break_points"":4}"
2025-26,2,9,regular_season,1377,2025-10-25,4,2,高雄全家海神,7,新北國王,home,https://api.tpbl.basketball/api/games/1377/stats,30,40,70,30/70,42.9,20,20,40,20/40,50.0,10,20,30,10/30,33.3,21,9,30,21/30,70.0,91,91,79,79,53,38,15,20,4,23,24,7,11,4,22,38,14,17,"{""field_goals_made"":30,""field_goals_missed"":40,""field_goals_attempted"":70,""field_goals"":""30/70"",""field_goals_percentage"":""42.9"",""two_pointers_made"":20,""two_pointers_missed"":20,""two_pointers_attempted"":40,""two_pointers"":""20/40"",""two_pointers_percentage"":""50.0"",""three_pointers_made"":10,""three_pointers_missed"":20,""three_pointers_attempted"":30,""three_pointers"":""10/30"",""three_pointers_percentage"":""33.3"",""free_throws_made"":21,""free_throws_missed"":9,""free_throws_attempted"":30,""free_throws"":""21/30"",""free_throws_percentage"":""70.0"",""won_score"":91,""total_won_score"":91,""lost_score"":79,""total_lost_score"":79,""rebounds"":53,""defensive_rebounds"":38,""offensive_rebounds"":15,""defensive_fouls"":20,""offensive_fouls"":4,""personal_fouls"":23,""fouls"":24,""assists"":7,""steals"":11,""blocks"":4,""turnovers"":22,""points_in_paint"":38,""second_chance_points"":14,""fast_break_points"":17}"
2025-26,2,9,regular_season,1377,2025-10-25,4,7,新北國王,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1377/stats,27,53,80,27/80,33.8,23,31,54,23/54,42.6,4,22,26,4/26,15.4,21,8,29,21/29,72.4,79,79,91,91,47,30,17,24,0,23,24,10,12,0,17,44,17,4,"{""field_goals_made"":27,""field_goals_missed"":53,""field_goals_attempted"":80,""field_goals"":""27/80"",""field_goals_percentage"":""33.8"",""two_pointers_made"":23,""two_pointers_missed"":31,""two_pointers_attempted"":54,""two_pointers"":""23/54"",""two_pointers_percentage"":""42.6"",""three_pointers_made"":4,""three_pointers_missed"":22,""three_pointers_attempted"":26,""three_pointers"":""4/26"",""three_pointers_percentage"":""15.4"",""free_throws_made"":21,""free_throws_missed"":8,""free_throws_attempted"":29,""free_throws"":""21/29"",""free_throws_percentage"":""72.4"",""won_score"":79,""total_won_score"":79,""lost_score"":91,""total_lost_score"":91,""rebounds"":47,""defensive_rebounds"":30,""offensive_rebounds"":17,""defensive_fouls"":24,""offensive_fouls"":0,""personal_fouls"":23,""fouls"":24,""assists"":10,""steals"":12,""blocks"":0,""turnovers"":17,""points_in_paint"":44,""second_chance_points"":17,""fast_break_points"":4}"
2025-26,2,9,regular_season,1378,2025-10-25,4,6,新北中信特攻,8,臺北台新戰神,home,https://api.tpbl.basketball/api/games/1378/stats,33,42,75,33/75,44.0,23,18,41,23/41,56.1,10,24,34,10/34,29.4,15,14,29,15/29,51.7,91,91,78,78,49,39,10,23,1,23,24,22,14,5,18,44,7,24,"{""field_goals_made"":33,""field_goals_missed"":42,""field_goals_attempted"":75,""field_goals"":""33/75"",""field_goals_percentage"":""44.0"",""two_pointers_made"":23,""two_pointers_missed"":18,""two_pointers_attempted"":41,""two_pointers"":""23/41"",""two_pointers_percentage"":""56.1"",""three_pointers_made"":10,""three_pointers_missed"":24,""three_pointers_attempted"":34,""three_pointers"":""10/34"",""three_pointers_percentage"":""29.4"",""free_throws_made"":15,""free_throws_missed"":14,""free_throws_attempted"":29,""free_throws"":""15/29"",""free_throws_percentage"":""51.7"",""won_score"":91,""total_won_score"":91,""lost_score"":78,""total_lost_score"":78,""rebounds"":49,""defensive_rebounds"":39,""offensive_rebounds"":10,""defensive_fouls"":23,""offensive_fouls"":1,""personal_fouls"":23,""fouls"":24,""assists"":22,""steals"":14,""blocks"":5,""turnovers"":18,""points_in_paint"":44,""second_chance_points"":7,""fast_break_points"":24}"
2025-26,2,9,regular_season,1378,2025-10-25,4,8,臺北台新戰神,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1378/stats,23,55,78,23/78,29.5,12,26,38,12/38,31.6,11,29,40,11/40,27.5,21,8,29,21/29,72.4,78,78,91,91,57,38,19,22,3,25,25,9,12,1,27,18,5,3,"{""field_goals_made"":23,""field_goals_missed"":55,""field_goals_attempted"":78,""field_goals"":""23/78"",""field_goals_percentage"":""29.5"",""two_pointers_made"":12,""two_pointers_missed"":26,""two_pointers_attempted"":38,""two_pointers"":""12/38"",""two_pointers_percentage"":""31.6"",""three_pointers_made"":11,""three_pointers_missed"":29,""three_pointers_attempted"":40,""three_pointers"":""11/40"",""three_pointers_percentage"":""27.5"",""free_throws_made"":21,""free_throws_missed"":8,""free_throws_attempted"":29,""free_throws"":""21/29"",""free_throws_percentage"":""72.4"",""won_score"":78,""total_won_score"":78,""lost_score"":91,""total_lost_score"":91,""rebounds"":57,""defensive_rebounds"":38,""offensive_rebounds"":19,""defensive_fouls"":22,""offensive_fouls"":3,""personal_fouls"":25,""fouls"":25,""assists"":9,""steals"":12,""blocks"":1,""turnovers"":27,""points_in_paint"":18,""second_chance_points"":5,""fast_break_points"":3}"
2025-26,2,9,regular_season,1379,2025-10-26,4,2,高雄全家海神,4,新竹御嵿攻城獅,home,https://api.tpbl.basketball/api/games/1379/stats,30,51,81,30/81,37.0,20,26,46,20/46,43.5,10,25,35,10/35,28.6,12,7,19,12/19,63.2,82,82,101,101,43,28,15,21,0,20,21,15,9,2,12,36,5,6,"{""field_goals_made"":30,""field_goals_missed"":51,""field_goals_attempted"":81,""field_goals"":""30/81"",""field_goals_percentage"":""37.0"",""two_pointers_made"":20,""two_pointers_missed"":26,""two_pointers_attempted"":46,""two_pointers"":""20/46"",""two_pointers_percentage"":""43.5"",""three_pointers_made"":10,""three_pointers_missed"":25,""three_pointers_attempted"":35,""three_pointers"":""10/35"",""three_pointers_percentage"":""28.6"",""free_throws_made"":12,""free_throws_missed"":7,""free_throws_attempted"":19,""free_throws"":""12/19"",""free_throws_percentage"":""63.2"",""won_score"":82,""total_won_score"":82,""lost_score"":101,""total_lost_score"":101,""rebounds"":43,""defensive_rebounds"":28,""offensive_rebounds"":15,""defensive_fouls"":21,""offensive_fouls"":0,""personal_fouls"":20,""fouls"":21,""assists"":15,""steals"":9,""blocks"":2,""turnovers"":12,""points_in_paint"":36,""second_chance_points"":5,""fast_break_points"":6}"
2025-26,2,9,regular_season,1379,2025-10-26,4,4,新竹御嵿攻城獅,2,高雄全家海神,away,https://api.tpbl.basketball/api/games/1379/stats,37,39,76,37/76,48.7,26,23,49,26/49,53.1,11,16,27,11/27,40.7,16,12,28,16/28,57.1,101,101,82,82,56,42,14,17,4,20,21,24,7,5,14,48,13,6,"{""field_goals_made"":37,""field_goals_missed"":39,""field_goals_attempted"":76,""field_goals"":""37/76"",""field_goals_percentage"":""48.7"",""two_pointers_made"":26,""two_pointers_missed"":23,""two_pointers_attempted"":49,""two_pointers"":""26/49"",""two_pointers_percentage"":""53.1"",""three_pointers_made"":11,""three_pointers_missed"":16,""three_pointers_attempted"":27,""three_pointers"":""11/27"",""three_pointers_percentage"":""40.7"",""free_throws_made"":16,""free_throws_missed"":12,""free_throws_attempted"":28,""free_throws"":""16/28"",""free_throws_percentage"":""57.1"",""won_score"":101,""total_won_score"":101,""lost_score"":82,""total_lost_score"":82,""rebounds"":56,""defensive_rebounds"":42,""offensive_rebounds"":14,""defensive_fouls"":17,""offensive_fouls"":4,""personal_fouls"":20,""fouls"":21,""assists"":24,""steals"":7,""blocks"":5,""turnovers"":14,""points_in_paint"":48,""second_chance_points"":13,""fast_break_points"":6}"
2025-26,2,9,regular_season,1380,2025-10-26,4,6,新北中信特攻,5,桃園台啤永豐雲豹,home,https://api.tpbl.basketball/api/games/1380/stats,27,43,70,27/70,38.6,20,11,31,20/31,64.5,7,32,39,7/39,17.9,19,9,28,19/28,67.9,80,80,104,104,44,28,16,17,2,19,19,21,14,1,25,38,11,13,"{""field_goals_made"":27,""field_goals_missed"":43,""field_goals_attempted"":70,""field_goals"":""27/70"",""field_goals_percentage"":""38.6"",""two_pointers_made"":20,""two_pointers_missed"":11,""two_pointers_attempted"":31,""two_pointers"":""20/31"",""two_pointers_percentage"":""64.5"",""three_pointers_made"":7,""three_pointers_missed"":32,""three_pointers_attempted"":39,""three_pointers"":""7/39"",""three_pointers_percentage"":""17.9"",""free_throws_made"":19,""free_throws_missed"":9,""free_throws_attempted"":28,""free_throws"":""19/28"",""free_throws_percentage"":""67.9"",""won_score"":80,""total_won_score"":80,""lost_score"":104,""total_lost_score"":104,""rebounds"":44,""defensive_rebounds"":28,""offensive_rebounds"":16,""defensive_fouls"":17,""offensive_fouls"":2,""personal_fouls"":19,""fouls"":19,""assists"":21,""steals"":14,""blocks"":1,""turnovers"":25,""points_in_paint"":38,""second_chance_points"":11,""fast_break_points"":13}"
2025-26,2,9,regular_season,1380,2025-10-26,4,5,桃園台啤永豐雲豹,6,新北中信特攻,away,https://api.tpbl.basketball/api/games/1380/stats,40,34,74,40/74,54.1,31,14,45,31/45,68.9,9,20,29,9/29,31.0,15,5,20,15/20,75.0,104,104,80,80,39,31,8,21,0,21,21,21,16,4,17,54,10,10,"{""field_goals_made"":40,""field_goals_missed"":34,""field_goals_attempted"":74,""field_goals"":""40/74"",""field_goals_percentage"":""54.1"",""two_pointers_made"":31,""two_pointers_missed"":14,""two_pointers_attempted"":45,""two_pointers"":""31/45"",""two_pointers_percentage"":""68.9"",""three_pointers_made"":9,""three_pointers_missed"":20,""three_pointers_attempted"":29,""three_pointers"":""9/29"",""three_pointers_percentage"":""31.0"",""free_throws_made"":15,""free_throws_missed"":5,""free_throws_attempted"":20,""free_throws"":""15/20"",""free_throws_percentage"":""75.0"",""won_score"":104,""total_won_score"":104,""lost_score"":80,""total_lost_score"":80,""rebounds"":39,""defensive_rebounds"":31,""offensive_rebounds"":8,""defensive_fouls"":21,""offensive_fouls"":0,""personal_fouls"":21,""fouls"":21,""assists"":21,""steals"":16,""blocks"":4,""turnovers"":17,""points_in_paint"":54,""second_chance_points"":10,""fast_break_points"":10}"
