game_id,team_id,player_id,source_seconds,rotation_seconds,residual_seconds,within_one_second
1376,7,24,1630.0,1630.0,0.0,True
1376,7,10874,535.0,535.0,0.0,True
1376,7,26,1304.0,1304.0,0.0,True
1376,7,867,2700.0,2700.0,0.0,True
1376,7,34,1587.0,1587.0,0.0,True
1376,8,10870,2554.0,2554.0,0.0,True
1376,8,1,1432.0,1432.0,0.0,True
1376,8,3,756.0,756.0,0.0,True
1376,8,4,1262.0,1262.0,0.0,True
1376,8,10869,1947.0,1947.0,0.0,True
1376,8,5,1408.0,1408.0,0.0,True
1376,8,7,63.0,63.0,0.0,True
1376,8,14,1338.0,1338.0,0.0,True
1376,8,10868,1859.0,1859.0,0.0,True
1376,8,10,2385.0,2385.0,0.0,True
1376,8,13,896.0,896.0,0.0,True
1377,2,10892,2008.0,2008.0,0.0,True
1377,2,109,1827.0,1827.0,0.0,True
1377,2,110,2139.0,2139.0,0.0,True
1377,2,45,885.0,885.0,0.0,True
1377,2,116,92.0,92.0,0.0,True
1377,2,10893,1705.0,1705.0,0.0,True
1377,2,118,2258.0,2258.0,0.0,True
1377,2,119,140.0,140.0,0.0,True
1377,2,121,313.0,313.0,0.0,True
1377,2,122,1209.0,1209.0,0.0,True
1377,2,10894,1824.0,1824.0,0.0,True
1377,7,10875,2155.0,2155.0,0.0,True
1377,7,10871,80.0,80.0,0.0,True
1377,7,21,2321.0,2321.0,0.0,True
1377,7,22,1609.0,1609.0,0.0,True
1377,7,23,10.0,10.0,0.0,True
1377,7,10872,1730.0,1730.0,0.0,True
1377,7,24,820.0,820.0,0.0,True
1377,7,10874,624.0,624.0,0.0,True
1377,7,26,1616.0,1616.0,0.0,True
1377,7,32,1557.0,1557.0,0.0,True
1377,7,10873,80.0,80.0,0.0,True
1377,7,34,1798.0,1798.0,0.0,True
1378,6,10877,2439.0,2439.0,0.0,True
1378,6,39,1841.0,1841.0,0.0,True
1378,6,40,1944.0,1944.0,0.0,True
1378,6,10880,2142.0,2142.0,0.0,True
1378,6,10881,2378.0,2378.0,0.0,True
1378,6,8889,1211.0,1211.0,0.0,True
1378,6,44,673.0,673.0,0.0,True
1378,6,10879,1089.0,1089.0,0.0,True
1378,6,48,683.0,683.0,0.0,True
1378,8,10870,2218.0,2218.0,0.0,True
1378,8,10863,197.0,197.0,0.0,True
1378,8,2,11.0,11.0,0.0,True
1378,8,3,334.0,334.0,0.0,True
1378,8,4,1196.0,1196.0,0.0,True
1378,8,10869,1717.0,1717.0,0.0,True
1378,8,5,788.0,788.0,0.0,True
1378,8,10865,1672.0,1672.0,0.0,True
1378,8,7,395.0,395.0,0.0,True
1378,8,14,1544.0,1544.0,0.0,True
1378,8,10868,1825.0,1825.0,0.0,True
1378,8,10,1950.0,1950.0,0.0,True
1378,8,13,553.0,553.0,0.0,True
1379,2,10892,2057.0,2057.0,0.0,True
1379,2,12668,1555.0,1555.0,0.0,True
1379,2,109,1472.0,1472.0,0.0,True
1379,2,110,1917.0,1917.0,0.0,True
1379,2,45,1130.0,1130.0,0.0,True
1379,2,118,2032.0,2032.0,0.0,True
1379,2,121,124.0,124.0,0.0,True
1379,2,122,1210.0,1210.0,0.0,True
1379,2,123,755.0,755.0,0.0,True
1379,2,10894,2148.0,2148.0,0.0,True
1379,4,71,846.0,846.0,0.0,True
1379,4,10887,2383.0,2383.0,0.0,True
1379,4,75,1298.0,1298.0,0.0,True
1379,4,76,2034.0,2034.0,0.0,True
1379,4,10885,1537.0,1537.0,0.0,True
1379,4,82,484.0,484.0,0.0,True
1379,4,87,1554.0,1554.0,0.0,True
1379,4,10888,1046.0,1046.0,0.0,True
1379,4,10862,2016.0,2016.0,0.0,True
1379,4,88,345.0,345.0,0.0,True
1379,4,90,857.0,857.0,0.0,True
1380,6,10877,1435.0,1435.0,0.0,True
1380,6,35,466.0,466.0,0.0,True
1380,6,10883,58.0,58.0,0.0,True
1380,6,39,1228.0,1228.0,0.0,True
1380,6,40,1727.0,1727.0,0.0,True
1380,6,10880,1753.0,1753.0,0.0,True
1380,6,113,644.0,644.0,0.0,True
1380,6,43,1133.0,1133.0,0.0,True
1380,6,10881,1710.0,1710.0,0.0,True
1380,6,44,472.0,472.0,0.0,True
1380,6,10879,174.0,174.0,0.0,True
1380,6,10882,1707.0,1707.0,0.0,True
1380,6,47,1588.0,1588.0,0.0,True
1380,6,48,305.0,305.0,0.0,True
1380,5,54,1937.0,1937.0,0.0,True
1380,5,10884,679.0,679.0,0.0,True
1380,5,10860,1587.0,1587.0,0.0,True
1380,5,55,66.0,66.0,0.0,True
1380,5,56,264.0,264.0,0.0,True
1380,5,57,1074.0,1074.0,0.0,True
1380,5,58,1910.0,1910.0,0.0,True
1380,5,16,2092.0,2092.0,0.0,True
1380,5,62,1554.0,1554.0,0.0,True
1380,5,68,1949.0,1949.0,0.0,True
1380,5,60,66.0,66.0,0.0,True
1380,5,12,1016.0,1016.0,0.0,True
1380,5,64,206.0,206.0,0.0,True
1381,2,12668,2246.0,2246.0,0.0,True
1381,2,109,1302.0,1302.0,0.0,True
1381,2,110,2197.0,2197.0,0.0,True
1381,2,45,1272.0,1272.0,0.0,True
1381,2,116,0.0,,,False
1381,2,10893,1967.0,1967.0,0.0,True
1381,2,118,1297.0,1297.0,0.0,True
1381,2,119,384.0,384.0,0.0,True
1381,2,121,575.0,575.0,0.0,True
1381,2,122,1764.0,1764.0,0.0,True
1381,2,10894,1396.0,1396.0,0.0,True
1381,3,77,1521.0,1521.0,0.0,True
1381,3,79,1587.0,1587.0,0.0,True
1381,3,86,1262.0,1262.0,0.0,True
1381,3,10889,2319.0,2319.0,0.0,True
1381,3,103,2037.0,2037.0,0.0,True
1381,3,95,344.0,344.0,0.0,True
1381,3,106,885.0,885.0,0.0,True
1381,3,107,2068.0,2068.0,0.0,True
1381,3,89,1618.0,1618.0,0.0,True
1381,3,101,759.0,759.0,0.0,True
1382,2,10892,1636.0,1636.0,0.0,True
1382,2,12668,1996.0,1996.0,0.0,True
1382,2,109,1589.0,1589.0,0.0,True
1382,2,110,2307.0,2307.0,0.0,True
1382,2,45,1161.0,1161.0,0.0,True
