game_id,team_id,OREB,DREB,REB,TOV,PF,time_on_court_seconds,plus_minus,OREB_team,DREB_team,REB_team,TOV_team,PF_team,team_points,opponent_points,periods,plus_minus_residual,minutes_residual_seconds,OREB_team_credit_difference,DREB_team_credit_difference,REB_team_credit_difference,TOV_team_credit_difference,PF_team_credit_difference
1390,2,7.0,33.0,40.0,17.0,23.0,14400.0,-85.0,7,33,40,17,23,94,111,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1390,7,15.0,35.0,50.0,18.0,23.0,14400.0,85.0,17,37,54,18,23,111,94,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1391,5,12.0,33.0,45.0,19.0,16.0,14400.0,35.0,16,35,51,19,16,85,78,4,0.0,0.0,4.0,2.0,6.0,0.0,0.0
1391,6,18.0,33.0,51.0,18.0,24.0,14400.0,-35.0,20,33,53,19,24,78,85,4,0.0,0.0,2.0,0.0,2.0,1.0,0.0
1392,3,15.0,37.0,52.0,24.0,22.0,14400.0,-15.0,17,40,57,27,22,91,94,4,0.0,0.0,2.0,3.0,5.0,3.0,0.0
1392,7,18.0,25.0,43.0,17.0,22.0,14400.0,15.0,20,26,46,17,22,94,91,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1393,4,9.0,31.0,40.0,10.0,19.0,14400.0,85.0,9,34,43,10,19,102,85,4,0.0,0.0,0.0,3.0,3.0,0.0,0.0
1393,6,19.0,35.0,54.0,17.0,22.0,14400.0,-85.0,22,37,59,18,22,85,102,4,0.0,0.0,3.0,2.0,5.0,1.0,0.0
1394,7,10.0,35.0,45.0,15.0,22.0,14400.0,-50.0,12,37,49,17,22,87,97,4,0.0,0.0,2.0,2.0,4.0,2.0,0.0
1394,8,18.0,34.0,52.0,12.0,11.0,14400.0,50.0,25,37,62,12,11,97,87,4,0.0,0.0,7.0,3.0,10.0,0.0,0.0
1395,2,11.0,28.0,39.0,14.0,29.0,14400.0,-40.0,12,28,40,18,29,89,97,4,0.0,0.0,1.0,0.0,1.0,4.0,0.0
1395,4,12.0,37.0,49.0,17.0,17.0,14400.0,40.0,14,38,52,17,17,97,89,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1396,5,12.0,38.0,50.0,22.0,20.0,14400.0,60.0,19,40,59,25,20,112,102,4,10.0,0.0,7.0,2.0,9.0,3.0,0.0
1396,8,14.0,22.0,36.0,14.0,23.0,14400.0,-60.0,14,22,36,15,23,102,112,4,-10.0,0.0,0.0,0.0,0.0,1.0,0.0
1397,2,7.0,34.0,41.0,23.0,24.0,14400.0,110.0,9,35,44,23,24,112,90,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1397,5,13.0,22.0,35.0,18.0,15.0,14400.0,-110.0,17,24,41,18,15,90,112,4,0.0,0.0,4.0,2.0,6.0,0.0,0.0
1398,3,10.0,32.0,42.0,24.0,21.0,14400.0,75.0,10,33,43,24,21,113,98,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
1398,4,12.0,18.0,30.0,19.0,20.0,14400.0,-75.0,13,21,34,19,20,98,113,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1399,5,9.0,34.0,43.0,17.0,17.0,14400.0,10.0,9,37,46,17,17,103,101,4,0.0,0.0,0.0,3.0,3.0,0.0,0.0
1399,7,13.0,32.0,45.0,16.0,29.0,14400.0,-10.0,16,36,52,16,29,101,103,4,0.0,0.0,3.0,4.0,7.0,0.0,0.0
1400,3,12.0,34.0,46.0,19.0,19.0,14400.0,55.0,14,34,48,20,19,128,117,4,0.0,0.0,2.0,0.0,2.0,1.0,0.0
1400,8,15.0,25.0,40.0,16.0,27.0,14400.0,-55.0,16,28,44,16,27,117,128,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1401,5,17.0,37.0,54.0,13.0,17.0,14400.0,115.0,22,40,62,13,17,100,77,4,0.0,0.0,5.0,3.0,8.0,0.0,0.0
1401,6,10.0,28.0,38.0,13.0,21.0,14400.0,-115.0,12,30,42,13,21,77,100,4,0.0,0.0,2.0,2.0,4.0,0.0,0.0
1402,4,12.0,32.0,44.0,16.0,26.0,14400.0,-10.0,13,38,51,16,26,98,100,4,0.0,0.0,1.0,6.0,7.0,0.0,0.0
1402,8,14.0,37.0,51.0,15.0,22.0,14400.0,10.0,15,39,54,15,22,100,98,4,0.0,0.0,1.0,2.0,3.0,0.0,0.0
1403,4,17.0,31.0,48.0,14.0,19.0,14400.0,-10.0,22,33,55,14,19,94,96,4,0.0,0.0,5.0,2.0,7.0,0.0,0.0
1403,5,15.0,30.0,45.0,17.0,24.0,14400.0,10.0,17,36,53,18,24,96,94,4,0.0,0.0,2.0,6.0,8.0,1.0,0.0
1404,6,11.0,28.0,39.0,17.0,29.0,14400.0,20.0,15,29,44,18,29,108,104,4,0.0,0.0,4.0,1.0,5.0,1.0,0.0
1404,8,12.0,23.0,35.0,20.0,25.0,14400.0,-20.0,13,25,38,21,25,104,108,4,0.0,0.0,1.0,2.0,3.0,1.0,0.0
1405,3,17.0,32.0,49.0,12.0,23.0,14400.0,-65.0,21,33,54,12,23,92,105,4,0.0,0.0,4.0,1.0,5.0,0.0,0.0
1405,5,13.0,36.0,49.0,12.0,21.0,14400.0,65.0,13,39,52,13,21,105,92,4,0.0,0.0,0.0,3.0,3.0,1.0,0.0
1406,2,13.0,28.0,41.0,21.0,23.0,15900.0,-25.0,15,30,45,22,23,91,96,5,0.0,0.0,2.0,2.0,4.0,1.0,0.0
1406,8,11.0,36.0,47.0,27.0,22.0,15900.0,25.0,12,40,52,30,22,96,91,5,0.0,0.0,1.0,4.0,5.0,3.0,0.0
1407,2,9.0,21.0,30.0,12.0,26.0,14400.0,50.0,11,22,33,12,26,99,89,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1407,4,13.0,29.0,42.0,24.0,19.0,14400.0,-50.0,14,33,47,26,19,89,99,4,0.0,0.0,1.0,4.0,5.0,2.0,0.0
1408,5,10.0,28.0,38.0,13.0,20.0,14400.0,-50.0,13,30,43,14,20,75,85,4,0.0,0.0,3.0,2.0,5.0,1.0,0.0
1408,6,15.0,38.0,53.0,18.0,14.0,14400.0,50.0,16,45,61,20,14,85,75,4,0.0,0.0,1.0,7.0,8.0,2.0,0.0
1409,2,7.0,34.0,41.0,16.0,17.0,14400.0,-130.0,10,34,44,18,17,73,99,4,0.0,0.0,3.0,0.0,3.0,2.0,0.0
1409,3,12.0,36.0,48.0,9.0,17.0,14400.0,130.0,13,38,51,9,17,99,73,4,0.0,0.0,1.0,2.0,3.0,0.0,0.0
1410,6,12.0,30.0,42.0,13.0,16.0,14400.0,15.0,16,34,50,13,16,114,111,4,0.0,0.0,4.0,4.0,8.0,0.0,0.0
1410,7,7.0,26.0,33.0,12.0,15.0,14400.0,-15.0,8,27,35,13,15,111,114,4,0.0,0.0,1.0,1.0,2.0,1.0,0.0
1411,5,8.0,30.0,38.0,11.0,14.0,14400.0,-110.0,10,31,41,11,14,103,125,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1411,7,14.0,37.0,51.0,12.0,21.0,14400.0,110.0,15,40,55,12,21,125,103,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1412,3,11.0,38.0,49.0,21.0,19.0,14400.0,-25.0,12,41,53,23,19,85,90,4,0.0,0.0,1.0,3.0,4.0,2.0,0.0
1412,4,10.0,28.0,38.0,8.0,17.0,14400.0,25.0,12,30,42,9,17,90,85,4,0.0,0.0,2.0,2.0,4.0,1.0,0.0
1413,6,17.0,35.0,52.0,18.0,19.0,14400.0,-35.0,21,37,58,20,19,78,85,4,0.0,0.0,4.0,2.0,6.0,2.0,0.0
1413,7,9.0,37.0,46.0,15.0,21.0,14400.0,35.0,12,42,54,16,21,85,78,4,0.0,0.0,3.0,5.0,8.0,1.0,0.0
1414,4,9.0,29.0,38.0,12.0,23.0,14400.0,-55.0,10,32,42,13,23,83,94,4,0.0,0.0,1.0,3.0,4.0,1.0,0.0
1414,8,18.0,34.0,52.0,13.0,24.0,14400.0,55.0,19,37,56,14,24,94,83,4,0.0,0.0,1.0,3.0,4.0,1.0,0.0
1415,4,9.0,32.0,41.0,15.0,20.0,14400.0,80.0,11,36,47,15,20,98,82,4,0.0,0.0,2.0,4.0,6.0,0.0,0.0
1415,5,14.0,39.0,53.0,19.0,21.0,14400.0,-80.0,16,40,56,20,21,82,98,4,0.0,0.0,2.0,1.0,3.0,1.0,0.0
1416,3,14.0,37.0,51.0,15.0,15.0,14400.0,50.0,18,39,57,17,15,108,98,4,0.0,0.0,4.0,2.0,6.0,2.0,0.0
1416,8,14.0,27.0,41.0,14.0,30.0,14400.0,-50.0,15,27,42,14,30,98,108,4,0.0,0.0,1.0,0.0,1.0,0.0,0.0
1417,4,7.0,35.0,42.0,12.0,14.0,14400.0,35.0,10,36,46,12,14,97,90,4,0.0,0.0,3.0,1.0,4.0,0.0,0.0
1417,7,14.0,30.0,44.0,9.0,21.0,14400.0,-35.0,17,34,51,9,21,90,97,4,0.0,0.0,3.0,4.0,7.0,0.0,0.0
1418,3,20.0,30.0,50.0,22.0,21.0,14400.0,-70.0,21,32,53,24,21,104,118,4,0.0,0.0,1.0,2.0,3.0,2.0,0.0
1418,6,16.0,33.0,49.0,23.0,21.0,14400.0,70.0,17,36,53,23,21,118,104,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1419,2,13.0,34.0,47.0,19.0,20.0,14400.0,-20.0,15,35,50,19,20,82,86,4,0.0,0.0,2.0,1.0,3.0,0.0,0.0
1419,7,10.0,27.0,37.0,8.0,18.0,14400.0,20.0,10,29,39,10,18,86,82,4,0.0,0.0,0.0,2.0,2.0,2.0,0.0
1420,6,7.0,40.0,47.0,12.0,18.0,14400.0,60.0,8,41,49,13,18,94,82,4,0.0,0.0,1.0,1.0,2.0,1.0,0.0
1420,7,14.0,33.0,47.0,13.0,14.0,14400.0,-60.0,17,35,52,13,14,82,94,4,0.0,0.0,3.0,2.0,5.0,0.0,0.0
1421,2,17.0,23.0,40.0,18.0,20.0,14400.0,-30.0,19,23,42,19,20,102,108,4,0.0,0.0,2.0,0.0,2.0,1.0,0.0
1421,5,7.0,31.0,38.0,25.0,20.0,14400.0,30.0,7,32,39,26,20,108,102,4,0.0,0.0,0.0,1.0,1.0,1.0,0.0
1422,4,11.0,37.0,48.0,9.0,19.0,14400.0,25.0,12,38,50,9,19,84,79,4,0.0,0.0,1.0,1.0,2.0,0.0,0.0
1422,6,15.0,41.0,56.0,17.0,25.0,14400.0,-25.0,16,44,60,17,25,79,84,4,0.0,0.0,1.0,3.0,4.0,0.0,0.0
1423,2,13.0,35.0,48.0,7.0,16.0,14400.0,-85.0,16,36,52,7,16,94,111,4,0.0,0.0,3.0,1.0,4.0,0.0,0.0
1423,7,9.0,39.0,48.0,8.0,21.0,14400.0,85.0,9,43,52,8,21,111,94,4,0.0,0.0,0.0,4.0,4.0,0.0,0.0
1424,3,2.0,36.0,38.0,15.0,22.0,14400.0,35.0,7,37,44,15,22,122,115,4,0.0,0.0,5.0,1.0,6.0,0.0,0.0
1424,6,11.0,29.0,40.0,11.0,20.0,14400.0,-35.0,11,30,41,11,20,115,122,4,0.0,0.0,0.0,1.0,1.0,0.0,0.0
